Current;Best
9303;9303
11723;11723
13182;13182
14338;14338
14804;14804
15983;15983
17619;17619
19034;19034
19833;19833
21461;21461
23288;23288
24270;24270
25536;25536
26139;26139
27658;27658
28064;28064
28846;28846
29782;29782
30484;30484
31381;31381
32212;32212
32532;32532
32738;32738
33323;33323
33823;33823
34503;34503
35846;35846
36449;36449
38311;38311
38952;38952
39639;39639
40269;40269
41175;41175
41941;41941
42638;42638
43331;43331
43436;43436
44846;44846
45104;45104
45992;45992
46831;46831
47182;47182
47974;47974
48356;48356
49337;49337
50281;50281
50526;50526
51016;51016
52201;52201
52689;52689
53761;53761
54325;54325
55449;55449
56138;56138
56811;56811
57374;57374
57840;57840
58958;58958
59167;59167
59865;59865
60371;60371
60742;60742
61540;61540
61725;61725
61697;61725
62444;62444
63009;63009
63155;63155
63415;63415
63337;63415
63409;63415
63695;63695
64045;64045
64589;64589
65026;65026
65681;65681
66590;66590
67017;67017
67686;67686
67859;67859
67662;67859
67828;67859
68185;68185
68438;68438
69216;69216
69498;69498
70510;70510
70693;70693
70937;70937
70950;70950
71103;71103
71304;71304
72015;72015
72219;72219
72660;72660
72858;72858
73478;73478
73760;73760
73826;73826
74313;74313
74539;74539
74442;74539
74523;74539
74995;74995
75115;75115
74787;75115
74896;75115
75291;75291
75533;75533
75718;75718
75882;75882
76687;76687
77177;77177
77575;77575
77871;77871
78205;78205
78387;78387
78691;78691
78971;78971
79595;79595
79565;79595
80136;80136
80291;80291
80375;80375
80742;80742
81064;81064
81247;81247
81238;81247
81832;81832
81848;81848
81703;81848
81672;81848
81744;81848
81948;81948
81947;81948
81951;81951
81889;81951
82661;82661
82898;82898
83182;83182
83562;83562
83876;83876
84271;84271
84445;84445
85227;85227
85257;85257
85326;85326
85447;85447
85601;85601
85901;85901
86036;86036
85818;86036
85599;86036
85788;86036
86090;86090
86127;86127
86127;86127
86605;86605
86875;86875
86900;86900
86826;86900
87370;87370
87369;87370
87256;87370
87387;87387
87129;87387
86996;87387
86991;87387
87059;87387
87133;87387
87279;87387
87208;87387
87732;87732
87929;87929
87637;87929
87500;87929
87953;87953
88092;88092
88229;88229
88495;88495
88580;88580
88520;88580
88278;88580
88202;88580
88252;88580
88114;88580
88558;88580
88336;88580
88439;88580
88498;88580
88790;88790
88975;88975
88788;88975
88835;88975
88922;88975
89099;89099
89084;89099
89354;89354
89745;89745
89836;89836
89804;89836
90566;90566
90851;90851
90569;90851
90412;90851
91085;91085
91005;91085
90989;91085
90958;91085
91180;91180
92089;92089
91987;92089
92290;92290
92328;92328
92436;92436
92712;92712
92558;92712
92448;92712
92530;92712
92443;92712
92315;92712
93008;93008
93174;93174
93045;93174
93030;93174
93025;93174
93268;93268
93123;93268
92905;93268
92662;93268
92884;93268
93044;93268
93074;93268
92867;93268
93207;93268
93416;93416
93042;93416
93085;93416
93100;93416
93748;93748
93861;93861
94108;94108
93889;94108
93943;94108
93711;94108
93922;94108
93995;94108
94328;94328
94111;94328
94018;94328
94057;94328
94202;94328
94017;94328
94145;94328
94250;94328
94363;94363
94225;94363
93972;94363
94460;94460
94160;94460
94452;94460
94703;94703
94833;94833
94513;94833
94176;94833
94230;94833
94581;94833
94608;94833
94679;94833
94752;94833
94834;94834
95083;95083
95614;95614
95603;95614
95567;95614
95392;95614
95950;95950
95705;95950
95765;95950
95669;95950
95779;95950
95806;95950
95664;95950
95836;95950
95615;95950
95309;95950
95236;95950
95433;95950
95580;95950
95673;95950
95633;95950
95474;95950
95279;95950
95237;95950
95045;95950
94803;95950
95169;95950
95044;95950
95073;95950
95002;95950
94810;95950
94718;95950
94819;95950
94669;95950
94928;95950
94610;95950
94802;95950
95187;95950
95217;95950
95263;95950
95289;95950
95193;95950
94889;95950
95026;95950
95044;95950
94726;95950
94963;95950
95284;95950
95283;95950
95540;95950
95573;95950
95597;95950
95461;95950
95694;95950
95895;95950
95951;95951
96207;96207
96238;96238
96074;96238
96213;96238
96191;96238
96129;96238
96737;96737
96975;96975
97081;97081
97059;97081
96862;97081
96622;97081
96600;97081
96764;97081
96561;97081
96743;97081
96669;97081
96566;97081
96811;97081
96862;97081
96735;97081
96849;97081
97031;97081
97105;97105
97068;97105
97611;97611
97457;97611
97508;97611
97761;97761
97999;97999
97775;97999
97832;97999
97739;97999
97481;97999
97086;97999
96938;97999
97206;97999
97555;97999
97287;97999
97377;97999
97338;97999
97841;97999
98030;98030
98254;98254
98206;98254
98511;98511
98562;98562
98249;98562
97959;98562
97608;98562
97775;98562
97341;98562
97506;98562
97672;98562
97448;98562
97508;98562
97406;98562
97440;98562
97245;98562
96953;98562
96880;98562
96457;98562
96407;98562
96408;98562
96291;98562
96553;98562
96497;98562
96639;98562
96421;98562
96580;98562
97205;98562
97455;98562
97782;98562
97698;98562
97507;98562
97459;98562
98007;98562
98159;98562
98017;98562
97641;98562
97646;98562
97673;98562
97970;98562
98170;98562
98216;98562
98189;98562
98251;98562
98372;98562
98492;98562
98152;98562
98043;98562
98006;98562
98494;98562
98513;98562
98421;98562
98199;98562
98361;98562
98697;98697
98344;98697
98311;98697
98384;98697
98393;98697
98327;98697
98102;98697
98108;98697
98385;98697
98700;98700
99263;99263
98935;99263
99012;99263
98954;99263
98742;99263
99173;99263
99134;99263
98911;99263
99148;99263
99381;99381
99319;99381
99212;99381
99483;99483
99238;99483
99242;99483
98965;99483
98910;99483
98745;99483
98668;99483
98642;99483
98593;99483
98629;99483
98572;99483
98384;99483
98142;99483
97918;99483
97604;99483
97402;99483
97642;99483
97432;99483
97449;99483
97206;99483
97448;99483
97511;99483
97519;99483
97382;99483
97771;99483
97554;99483
97552;99483
97706;99483
97627;99483
98060;99483
97813;99483
98027;99483
98294;99483
98425;99483
98593;99483
99242;99483
98991;99483
99229;99483
99417;99483
99710;99710
99436;99710
99261;99710
99528;99710
99699;99710
99441;99710
99247;99710
99141;99710
99172;99710
99148;99710
99089;99710
98807;99710
98642;99710
98511;99710
98715;99710
98433;99710
98301;99710
98002;99710
97784;99710
97652;99710
97853;99710
97567;99710
97478;99710
97390;99710
97615;99710
97627;99710
98093;99710
97926;99710
97951;99710
98122;99710
97923;99710
98002;99710
98347;99710
98459;99710
98284;99710
98475;99710
98829;99710
98651;99710
98697;99710
99219;99710
99001;99710
98862;99710
98647;99710
98702;99710
98516;99710
98635;99710
98628;99710
98604;99710
98745;99710
98805;99710
98739;99710
98992;99710
99313;99710
99667;99710
100080;100080
100147;100147
99926;100147
99802;100147
100023;100147
99999;100147
99944;100147
100082;100147
100185;100185
100238;100238
99892;100238
100046;100238
99885;100238
99760;100238
99896;100238
99874;100238
99866;100238
99862;100238
100049;100238
100244;100244
100088;100244
99962;100244
99787;100244
99545;100244
99229;100244
99699;100244
100299;100299
100387;100387
100370;100387
100366;100387
100221;100387
100650;100650
100665;100665
100669;100669
100659;100669
100587;100669
100503;100669
100218;100669
100198;100669
99792;100669
99479;100669
99689;100669
99598;100669
99441;100669
99366;100669
99184;100669
99697;100669
99539;100669
99863;100669
100076;100669
99647;100669
99753;100669
99581;100669
99644;100669
99878;100669
99814;100669
99636;100669
99799;100669
99745;100669
99837;100669
100003;100669
99741;100669
99797;100669
99917;100669
100343;100669
100484;100669
100355;100669
100499;100669
100213;100669
100078;100669
99776;100669
99676;100669
99932;100669
99486;100669
99372;100669
99488;100669
99475;100669
99510;100669
99555;100669
99469;100669
99184;100669
99512;100669
99654;100669
99870;100669
99861;100669
100078;100669
100147;100669
99915;100669
100100;100669
99679;100669
99667;100669
99672;100669
99498;100669
99641;100669
99758;100669
99710;100669
99854;100669
100024;100669
100180;100669
99960;100669
99712;100669
99739;100669
99269;100669
99428;100669
99501;100669
99179;100669
99014;100669
98629;100669
98711;100669
98399;100669
98405;100669
98170;100669
98290;100669
98846;100669
98876;100669
99101;100669
99021;100669
99230;100669
98961;100669
98866;100669
99028;100669
98808;100669
98624;100669
98296;100669
98411;100669
98303;100669
98425;100669
98619;100669
98600;100669
98584;100669
98516;100669
98333;100669
98286;100669
98338;100669
